Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,"
Net Summer Capacity (MW)",Technology,Energy Source Code,Prime Mover Code
2016,1,40577,"American Mun Power-Ohio, Inc",Electric Utility,Cannelton Hydroelectric Plant,KY,57399,CG1,29.3,Conventional Hydroelectric,WAT,HY
2016,1,40577,"American Mun Power-Ohio, Inc",Electric Utility,Willow Island Hydroelectric Plant,WV,57401,WIG1,22,Conventional Hydroelectric,WAT,HY
2016,1,59247,Bearford Solar II LLC,IPP,Bearford Solar II,NC,59488,BEARF,4.9,Solar Photovoltaic,SUN,PV
2016,1,58562,"Blueberry One, LLC",IPP,Blueberry One,NC,58605,PV1,5,Solar Photovoltaic,SUN,PV
2016,1,59858,Chei Solar LLC,IPP,Chei Solar,NC,59508,PV1,5,Solar Photovoltaic,SUN,PV
2016,1,7977,City of Hamilton - (OH),Electric Utility,Meldahl Hydroelectric Project,KY,56872,2,35,Conventional Hydroelectric,WAT,HY
2016,1,59693,Cline Solar Farm LLC,IPP,"Cline Solar Farm, LLC",NC,59929,NB007,4.9,Solar Photovoltaic,SUN,PV
2016,1,59692,Coats Solar Farm LLC,IPP,"Coats Solar Farm, LLC",NC,59937,NB006,4.9,Solar Photovoltaic,SUN,PV
2016,1,5109,DTE Electric Company,Electric Utility,Greenwood Solar Farm,MI,60019,1,1.9,Solar Photovoltaic,SUN,PV
2016,1,57170,"EDF Renewable Asset Holdings, Inc.",IPP,Milo Wind Project LLC,NM,59838,GEN1,50,Onshore Wind Turbine,WND,WT
2016,1,58873,Green Energy Team LLC,IPP,"Biomass to Energy Facility, Kauai",HI,59035,MKA1,8.3,Other Waste Biomass,AB,ST
2016,1,59835,Green Farm Solar LLC,IPP,Green Farm,NC,59148,GREEN,5,Solar Photovoltaic,SUN,PV
2016,1,59853,Happy Solar LLC,IPP,Happy Solar,NC,59512,PV1,4,Solar Photovoltaic,SUN,PV
