Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,"
Net Summer Capacity (MW)",Technology,Energy Source Code,Prime Mover Code
2016,1,9231,City of Independence - (MO),Electric Utility,Missouri City,MO,2171,1,19,Conventional Steam Coal,BIT,ST
2016,1,9231,City of Independence - (MO),Electric Utility,Missouri City,MO,2171,2,19,Conventional Steam Coal,BIT,ST
2016,2,3900,City of Coggon - (IA),Electric Utility,Coggon,IA,1132,IC1,0.6,Petroleum Liquids,DFO,IC
2016,2,9996,City of Kansas City - (KS),Electric Utility,Quindaro,KS,1295,GT1,13,Natural Gas Fired Combustion Turbine,NG,GT
2016,2,11142,City of Logansport - (IN),Electric Utility,Logansport,IN,1032,4,16.5,Conventional Steam Coal,BIT,ST
2016,2,11142,City of Logansport - (IN),Electric Utility,Logansport,IN,1032,5,22,Conventional Steam Coal,BIT,ST
2016,2,11142,City of Logansport - (IN),Electric Utility,Logansport,IN,1032,6,15,Natural Gas Fired Combustion Turbine,NG,GT
2016,2,17872,City of St Francis - (KS),Electric Utility,St Francis,KS,1321,3,0.8,Petroleum Liquids,DFO,IC
2016,2,4161,Constellation Power Source Gen,IPP,Perryman,MD,1556,GT2,51,Petroleum Liquids,DFO,GT
2016,3,6455,"Duke Energy Florida, Inc",Electric Utility,G E Turner,FL,629,P1,10,Petroleum Liquids,DFO,GT
2016,3,6455,"Duke Energy Florida, Inc",Electric Utility,G E Turner,FL,629,P2,10,Petroleum Liquids,DFO,GT
2016,3,6455,"Duke Energy Florida, Inc",Electric Utility,G E Turner,FL,629,P4,59,Petroleum Liquids,DFO,GT
2016,3,6455,"Duke Energy Florida, Inc",Electric Utility,Rio Pinar,FL,637,P1,12,Petroleum Liquids,DFO,GT
2016,3,49770,"Energy Recovery Operations, Inc",Commercial,Harford Waste to Energy Facility,MD,54935,1,1.1,Municipal Solid Waste,MSW,ST
2016,3,7801,Gulf Power Co,Electric Utility,Lansing Smith,FL,643,1,162,Conventional Steam Coal,BIT,ST
2016,3,7801,Gulf Power Co,Electric Utility,Lansing Smith,FL,643,2,195,Conventional Steam Coal,BIT,ST
2016,3,13168,NRG Huntley Operations Inc,IPP,C R Huntley Generating Station,NY,2549,67,190,Conventional Steam Coal,SUB,ST
2016,3,13168,NRG Huntley Operations Inc,IPP,C R Huntley Generating Station,NY,2549,S68,190,Conventional Steam Coal,SUB,ST
2016,3,14127,Omaha Public Power District,Electric Utility,North Omaha,NE,2291,2,87,Conventional Steam Coal,SUB,ST
2016,3,56690,Town of Portsmouth,IPP,Portsmouth Wind Turbine,RI,57350,WTG-1,1.5,Onshore Wind Turbine,WND,WT
2016,4,4045,City of Columbia - (MO),Electric Utility,Columbia (MO),MO,2123,5,16.5,Conventional Steam Coal,BIT,ST
2016,4,4254,Consumers Energy Co,Electric Utility,B C Cobb,MI,1695,4,156,Conventional Steam Coal,SUB,ST
2016,4,4254,Consumers Energy Co,Electric Utility,B C Cobb,MI,1695,5,156,Conventional Steam Coal,SUB,ST
2016,4,4254,Consumers Energy Co,Electric Utility,J C Weadock,MI,1720,7,152,Conventional Steam Coal,SUB,ST
2016,4,4254,Consumers Energy Co,Electric Utility,J C Weadock,MI,1720,8,151,Conventional Steam Coal,SUB,ST
2016,4,4254,Consumers Energy Co,Electric Utility,J R Whiting,MI,1723,1,102,Conventional Steam Coal,SUB,ST
2016,4,4254,Consumers Energy Co,Electric Utility,J R Whiting,MI,1723,2,95,Conventional Steam Coal,SUB,ST
2016,4,4254,Consumers Energy Co,Electric Utility,J R Whiting,MI,1723,3,122,Conventional Steam Coal,SUB,ST
2016,4,5109,DTE Electric Company,Electric Utility,Trenton Channel,MI,1745,7,110,Conventional Steam Coal,SUB,ST
2016,4,15470,"Duke Energy Indiana, LLC",Electric Utility,Wabash River,IN,1010,2,85,Conventional Steam Coal,BIT,ST
2016,4,15470,"Duke Energy Indiana, LLC",Electric Utility,Wabash River,IN,1010,3,85,Conventional Steam Coal,BIT,ST
2016,4,15470,"Duke Energy Indiana, LLC",Electric Utility,Wabash River,IN,1010,4,85,Conventional Steam Coal,BIT,ST
2016,4,15470,"Duke Energy Indiana, LLC",Electric Utility,Wabash River,IN,1010,5,95,Conventional Steam Coal,BIT,ST
2016,4,5580,"East Kentucky Power Coop, Inc",Electric Utility,Dale,KY,1385,3,74,Conventional Steam Coal,BIT,ST
2016,4,5580,"East Kentucky Power Coop, Inc",Electric Utility,Dale,KY,1385,4,75,Conventional Steam Coal,BIT,ST
2016,4,9273,Indianapolis Power & Light Co,Electric Utility,Eagle Valley (IN),IN,991,3,40,Conventional Steam Coal,BIT,ST
2016,4,9273,Indianapolis Power & Light Co,Electric Utility,Eagle Valley (IN),IN,991,4,56,Conventional Steam Coal,BIT,ST
2016,4,9273,Indianapolis Power & Light Co,Electric Utility,Eagle Valley (IN),IN,991,5,62,Conventional Steam Coal,BIT,ST
2016,4,9273,Indianapolis Power & Light Co,Electric Utility,Eagle Valley (IN),IN,991,6,99,Conventional Steam Coal,BIT,ST
2016,4,9273,Indianapolis Power & Light Co,Electric Utility,Eagle Valley (IN),IN,991,IC1,3,Petroleum Liquids,DFO,IC
2016,4,10000,Kansas City Power & Light Co,Electric Utility,Montrose,MO,2080,1,170,Conventional Steam Coal,SUB,ST
