year,month,net_utility_generation,est_distributed_generation,utility_generation,independent_generation,commercial_utility_generation,commercial_distributed_generation,industrial_utility_generation,industrial_distributed_generation,residential_generation,summer_capacity_utility,summer_capacity_distributed,summer_capacity_residential,summer_capacity_commercial,summer_capacity_industrial
2014,January,697,624,53,681,16,300,1.0,62,263,5688.0,5612.6,2285.2,2766.5,561.0
2014,February,752,664,61,753,20,322,1.0,65,277,5839.2,5728.2,2354.4,2804.9,568.9
2014,March,1135,907,91,1196,29,432,1.0,93,382,5967.9,5853.0,2428.2,2848.7,576.2
2014,April,1261,988,98,1355,33,467,2.0,101,421,6188.0,5978.9,2506.9,2883.8,588.2
2014,May,1457,1092,114,1596,38,512,2.0,111,468,6368.8,6111.6,2588.3,2930.2,593.0
2014,June,1578,1101,127,1755,39,510,2.0,113,478,6564.1,6227.2,2677.6,2946.1,603.5
2014,July,1525,1149,131,1618,38,529,2.0,117,502,6706.3,6369.2,2765.0,2989.0,615.1
2014,August,1618,1139,130,1709,39,520,2.0,116,503,7105.0,6603.0,2873.0,3096.4,633.6
2014,Sept,1574,1046,126,1670,35,469,2.0,106,472,7215.1,6749.8,2980.3,3128.7,640.9
2014,October,1484,965,124,1556,36,419,1.0,100,445,7575.3,6922.0,3092.8,3162.3,667.0
2014,November,1232,792,91,1260,28,338,1.0,81,373,8005.3,7078.0,3191.8,3203.2,683.0
2014,December,936,766,72,939,20,329,1.0,74,363,8656.6,7326.6,3346.3,3279.7,700.6
2015,January,1092,746,68,1066,20,327,1.0,80,340,8873.2,7369.4,3424.8,3227.0,717.6
2015,February,1322,816,87,1372,23,356,1.0,85,375,9027.0,7529.1,3550.2,3245.1,733.7
2015,March,1786,1134,126,1911,33,479,2.0,119,536,9088.1,7696.7,3689.3,3268.3,739.1
2015,April,2008,1264,145,2193,39,525,2.0,129,609,9154.4,7860.3,3816.3,3294.6,749.4
2015,May,2160,1394,156,2300,46,574,2.0,144,676,9368.0,8050.6,3949.5,3336.6,764.5
2015,June,2178,1408,153,2359,43,571,2.0,144,693,9638.9,8235.9,4110.7,3356.2,768.9
2015,July,2247,1487,155,2425,45,596,2.0,150,741,9714.8,8479.1,4275.5,3414.5,789.1
2015,August,2295,1468,159,2481,46,575,2.0,147,746,9945.4,8700.9,4440.5,3455.9,804.5
2015,Sept,1908,1330,130,2047,37,515,2.0,135,679,10050.2,8951.5,4635.1,3498.9,817.4
2015,October,1700,1198,114,1762,32,455,2.0,125,618,10156.7,9188.4,4815.7,3540.5,832.2
2015,November,1525,982,103,1599,27,367,1.0,100,515,10478.7,9416.7,4972.5,3593.4,850.8
2015,December,1444,914,98,1448,24,349,1.0,93,471,11905.4,9778.5,5191.5,3706.7,880.3
2016,January,1406,1021,100,1368,23,407,,99,515,12113.5,10238.4,5373.5,3975.7,889.2
2016,February,2163,1190,158,2199,44,465,,109,615,12242.9,10499.1,5572.5,4017.1,909.5
2016,March,2410,1583,172,2446,46,605,,152,826,12415.2,10825.8,5798.1,4088.7,939.0
2016,April,2624,1764,185,2667,44,657,,165,942,12947.2,11083.7,5996.6,4130.3,956.8
2016,May,3151,1946,213,3271,53,715,,183,1048,13051.1,11326.7,6184.1,4169.7,973.0
2016,June,3133,1993,221,3259,61,719,,184,1089,13226.4,11584.6,6377.9,4219.9,986.9
