Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,"
Net Summer Capacity (MW)",Technology,Energy Source Code,Prime Mover Code,Status,"
Nameplate Capacity (MW)"
2016,12,57369,"Apple, Inc",Industrial,Apple Campus 2 Fuel Cell,CA,59557,AC2FC,4,Other Waste Biomass,OBG,FC,"(V) Under construction, more than 50 percent complete",4
2016,12,15399,Avangrid Renewables Inc,IPP,"Desert Wind Farm, LLC",NC,59968,1,208,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",208
2016,12,59359,"BHE Renewables, LLC",IPP,Grande Prairie Wind Farm,NE,58695,1,400,Onshore Wind Turbine,WND,WT,"(TS) Construction complete, but not yet in commercial operation",400
2016,12,59474,BQ Energy LLC,IPP,Steel Sun,NY,59705,SSUN2,2,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",2
2016,12,58625,"Black Oak Wind, LLC",IPP,Black Oak Wind Farm,MN,58692,1,78,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",78
2016,12,60044,"Bluestem Wind Energy, LLC",IPP,Bluestem,OK,60256,1,198,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",198
2016,12,60149,"Brady Wind II, LLC",IPP,Brady II Wind Energy Center,ND,60354,BWEC2,150,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",150
2016,12,58540,California PV Energy LLC,IPP,CA Department of Public Health at Richmo,CA,60428,PV1,2.2,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",2.2
2016,12,59991,"Caprock Solar 1, LLC",IPP,Caprock Solar 1 LLC,NM,59251,PV1,24.4,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",25
2016,12,57412,Chisholm View Wind Project,IPP,Chisholm View Wind Project,OK,58041,2,64.8,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",64.8
2016,12,58871,Citizens Enterprises Corporation,IPP,Hunt Road Solar,MA,59927,PV1,4.5,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",4.5
2016,12,11268,City of Lowell - (MI),Electric Utility,Chatham,MI,58254,CT02R,3.2,Natural Gas Fired Combustion Turbine,NG,GT,"(V) Under construction, more than 50 percent complete",3.6
2016,12,14534,City of Pasadena - (CA),Electric Utility,Glenarm,CA,422,GT5,68,Natural Gas Fired Combined Cycle,NG,CC,"(V) Under construction, more than 50 percent complete",71
2016,12,14534,City of Pasadena - (CA),Electric Utility,Glenarm,CA,422,ST1, ,Natural Gas Fired Combined Cycle,NG,CA,"(V) Under construction, more than 50 percent complete",16
2016,12,17845,City of Springville - (UT),Electric Utility,Whitehead,UT,7028,K6CAT,2.5,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",2.5
