Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,"
Net Summer Capacity (MW)",Technology,Energy Source Code,Prime Mover Code
2016,12,733,Appalachian Power Co,Electric Utility,Kanawha River,WV,3936,1,200,Conventional Steam Coal,BIT,ST
2016,12,733,Appalachian Power Co,Electric Utility,Kanawha River,WV,3936,2,200,Conventional Steam Coal,BIT,ST
2016,12,56730,Cedar Bay Operating Services LLC,Electric CHP,Cedar Bay Generating Company LP,FL,10672,GEN1,250,Conventional Steam Coal,BIT,ST
2016,12,11713,City of Marshall - (MI),Electric Utility,Marshall (MI),MI,1844,IC2,0.9,Natural Gas Internal Combustion Engine,NG,IC
2016,12,11713,City of Marshall - (MI),Electric Utility,Marshall (MI),MI,1844,IC4,0.7,Petroleum Liquids,DFO,IC
2016,12,14534,City of Pasadena - (CA),Electric Utility,Broadway (CA),CA,420,B3,71,Natural Gas Steam Turbine,NG,ST
2016,12,6455,"Duke Energy Florida, Inc",Electric Utility,Suwannee River,FL,638,1,28,Natural Gas Steam Turbine,NG,ST
2016,12,6455,"Duke Energy Florida, Inc",Electric Utility,Suwannee River,FL,638,2,29,Natural Gas Steam Turbine,NG,ST
2016,12,6455,"Duke Energy Florida, Inc",Electric Utility,Suwannee River,FL,638,3,71,Natural Gas Steam Turbine,NG,ST
2016,12,7160,Geysers Power Co LLC,IPP,West Ford Flat Power Plant,CA,10199,WFF1,15,Geothermal,GEO,ST
2016,12,7160,Geysers Power Co LLC,IPP,West Ford Flat Power Plant,CA,10199,WFF2,15,Geothermal,GEO,ST
2016,12,13960,NRG Cabrillo Power Ops Inc,IPP,El Cajon,CA,301,ENCI,16,Natural Gas Fired Combustion Turbine,NG,GT
2016,12,13960,NRG Cabrillo Power Ops Inc,IPP,Encina,CA,302,ST1,106,Natural Gas Steam Turbine,NG,ST
2016,12,13960,NRG Cabrillo Power Ops Inc,IPP,Miramar,CA,305,MRGT,36,Natural Gas Fired Combustion Turbine,NG,GT
2016,12,14063,Oklahoma Gas & Electric Co,Electric Utility,Horseshoe Lake,OK,2951,GT7,7.3,Natural Gas Fired Combustion Turbine,NG,GT
2016,12,17578,South Orange Co Wastewtr Auth,Commercial,Aliso Water Management Agency,CA,10820,GEN1,0.4,Other Waste Biomass,OBG,IC
2016,12,17578,South Orange Co Wastewtr Auth,Commercial,Aliso Water Management Agency,CA,10820,GEN2,0.4,Other Waste Biomass,OBG,IC
2017,1,5943,Entergy Nuc Fitzpatrick LLC,IPP,James A Fitzpatrick,NY,6110,1,836.8,Nuclear,NUC,ST
2017,2,55932,Georgia-Pacific Brewton LLC,Industrial,Georgia-Pacific Brewton Mill,AL,54789,1TG,10.5,Wood/Wood Waste Biomass,BLQ,ST
2017,2,25835,Portland City of,IPP,Ground Water Pumping Station,OR,50105,GPS1,0.9,Conventional Hydroelectric,WAT,HY
2017,2,25835,Portland City of,IPP,Ground Water Pumping Station,OR,50105,GPS2,0.9,Conventional Hydroelectric,WAT,HY
2017,2,25835,Portland City of,IPP,Ground Water Pumping Station,OR,50105,GPS3,0.9,Conventional Hydroelectric,WAT,HY
2017,2,25835,Portland City of,IPP,Ground Water Pumping Station,OR,50105,GPS4,0.9,Conventional Hydroelectric,WAT,HY
2017,2,25835,Portland City of,IPP,Ground Water Pumping Station,OR,50105,GPS5,0.9,Conventional Hydroelectric,WAT,HY
2017,2,25835,Portland City of,IPP,Ground Water Pumping Station,OR,50105,GPS6,0.9,Conventional Hydroelectric,WAT,HY
2017,2,57440,"SABIC IP Mt. Vernon, LLC",Industrial,SABIC Innovative Plastics Mt. Vernon,IN,58063,1,3,Conventional Steam Coal,BIT,ST
2017,3,54843,WM Illinois Renewable Energy LLC,IPP,Lake Gas Recovery,IL,50575,GEN2,2.9,Landfill Gas,LFG,GT
2017,3,54843,WM Illinois Renewable Energy LLC,IPP,Lake Gas Recovery,IL,50575,GEN3,2.9,Landfill Gas,LFG,GT
2017,3,54842,WM Renewable Energy LLC,IPP,BJ Gas Recovery,GA,54392,GEN1,0.8,Landfill Gas,LFG,IC
2017,3,54842,WM Renewable Energy LLC,IPP,BJ Gas Recovery,GA,54392,GEN3,0.8,Landfill Gas,LFG,IC
2017,3,54842,WM Renewable Energy LLC,IPP,Monroe Livingston Gas Recovery,NY,50565,GEN2,0.8,Landfill Gas,LFG,IC
2017,4,18445,City of Tallahassee - (FL),Electric Utility,Arvah B Hopkins,FL,688,GT1,12,Natural Gas Fired Combustion Turbine,NG,GT
2017,4,18642,Tennessee Valley Authority,Electric Utility,Paradise,KY,1378,1,628,Conventional Steam Coal,BIT,ST
2017,4,18642,Tennessee Valley Authority,Electric Utility,Paradise,KY,1378,2,602,Conventional Steam Coal,BIT,ST
2017,4,19876,Virginia Electric & Power Co,Electric Utility,Yorktown,VA,3809,1,159,Conventional Steam Coal,BIT,ST
2017,4,19876,Virginia Electric & Power Co,Electric Utility,Yorktown,VA,3809,2,164,Conventional Steam Coal,BIT,ST
2017,5,5701,El Paso Electric Co,Electric Utility,Rio Grande,NM,2444,6,45,Natural Gas Steam Turbine,NG,ST
